candidate_key,wb,exposure_mode,target_median,low_pct,high_pct,user_wb,notes
c205,daylight,percentile,0.38,0.5,99.5,,defaults
c206,daylight,percentile,0.38,0.5,99.5,,defaults
c207,daylight,percentile,0.38,0.5,99.5,,defaults
c208,daylight,percentile,0.38,0.5,99.5,,defaults
c209,daylight,percentile,0.38,0.5,99.5,,defaults
c210,daylight,percentile,0.38,0.5,99.5,,defaults
c211,daylight,percentile,0.38,0.5,99.5,,defaults
c212,daylight,percentile,0.38,0.5,99.5,,defaults
c213,daylight,percentile,0.38,0.5,99.5,,defaults
c214,daylight,percentile,0.38,0.5,99.5,,defaults
c215,daylight,percentile,0.38,0.5,99.5,,defaults
c217,daylight,percentile,0.38,0.5,99.5,,defaults
c218,daylight,percentile,0.38,0.5,99.5,,defaults
c219,daylight,percentile,0.38,0.5,99.5,,defaults
c220,daylight,percentile,0.38,0.5,99.5,,defaults
c221,daylight,percentile,0.38,0.5,99.5,,defaults
c222,daylight,percentile,0.38,0.5,99.5,,defaults
c223,daylight,percentile,0.38,0.5,99.5,,defaults
c224,daylight,percentile,0.38,0.5,99.5,,defaults
c225,daylight,percentile,0.38,0.5,99.5,,defaults
c226,daylight,percentile,0.38,0.5,99.5,,defaults
c227,daylight,percentile,0.38,0.5,99.5,,defaults
c228,daylight,percentile,0.38,0.5,99.5,,defaults
c229,daylight,percentile,0.38,0.5,99.5,,defaults
c230,daylight,percentile,0.38,0.5,99.5,,defaults
c231,daylight,percentile,0.38,0.5,99.5,,defaults
c232,daylight,percentile,0.38,0.5,99.5,,defaults
c233,daylight,percentile,0.38,0.5,99.5,,defaults
c234,daylight,percentile,0.38,0.5,99.5,,defaults
c235,daylight,percentile,0.38,0.5,99.5,,defaults
c236,daylight,percentile,0.38,0.5,99.5,,defaults
c237,daylight,percentile,0.38,0.5,99.5,,defaults
c239,daylight,percentile,0.38,0.5,99.5,,defaults
c240,daylight,percentile,0.38,0.5,99.5,,defaults
c241,daylight,percentile,0.38,0.5,99.5,,defaults
c242,daylight,percentile,0.38,0.5,99.5,,defaults
c243,daylight,percentile,0.38,0.5,99.5,,defaults
c244,daylight,percentile,0.38,0.5,99.5,,defaults
c245,daylight,percentile,0.38,0.5,99.5,,defaults
c246,daylight,percentile,0.38,0.5,99.5,,defaults
c247,daylight,percentile,0.38,0.5,99.5,,defaults
c248,daylight,percentile,0.38,0.5,99.5,,defaults
c249,daylight,percentile,0.38,0.5,99.5,,defaults
c250,daylight,percentile,0.38,0.5,99.5,,defaults
c251,daylight,percentile,0.38,0.5,99.5,,defaults
c252,daylight,percentile,0.38,0.5,99.5,,defaults
c253,daylight,percentile,0.38,0.5,99.5,,defaults
c254,daylight,percentile,0.38,0.5,99.5,,defaults
c255,daylight,percentile,0.38,0.5,99.5,,defaults
c256,daylight,percentile,0.38,0.5,99.5,,defaults
c257,daylight,percentile,0.38,0.5,99.5,,defaults
c258,daylight,percentile,0.38,0.5,99.5,,defaults
c259,daylight,percentile,0.38,0.5,99.5,,defaults
c260,daylight,percentile,0.38,0.5,99.5,,defaults
c261,daylight,percentile,0.38,0.5,99.5,,defaults
c262,daylight,percentile,0.38,0.5,99.5,,defaults
c263,daylight,percentile,0.38,0.5,99.5,,defaults
c264,daylight,percentile,0.38,0.5,99.5,,defaults
c265,daylight,percentile,0.38,0.5,99.5,,defaults
c266,daylight,percentile,0.38,0.5,99.5,,defaults
c267,daylight,percentile,0.38,0.5,99.5,,defaults
c268,daylight,percentile,0.38,0.5,99.5,,defaults
c269,daylight,percentile,0.38,0.5,99.5,,defaults
c270,daylight,percentile,0.38,0.5,99.5,,defaults
c271,daylight,percentile,0.38,0.5,99.5,,defaults
c272,daylight,percentile,0.38,0.5,99.5,,defaults
c273,daylight,percentile,0.38,0.5,99.5,,defaults
c274,daylight,percentile,0.38,0.5,99.5,,defaults
c275,daylight,percentile,0.38,0.5,99.5,,defaults
c276,daylight,percentile,0.38,0.5,99.5,,defaults
c277,daylight,percentile,0.38,0.5,99.5,,defaults
c278,daylight,percentile,0.38,0.5,99.5,,defaults
c279,daylight,percentile,0.38,0.5,99.5,,defaults
c280,daylight,percentile,0.38,0.5,99.5,,defaults
c281,daylight,percentile,0.38,0.5,99.5,,defaults
c282,daylight,percentile,0.38,0.5,99.5,,defaults
c283,daylight,percentile,0.38,0.5,99.5,,defaults
c284,daylight,percentile,0.38,0.5,99.5,,defaults
c285,daylight,percentile,0.38,0.5,99.5,,defaults
c286,daylight,percentile,0.38,0.5,99.5,,defaults
c287,daylight,percentile,0.38,0.5,99.5,,defaults
c288,daylight,percentile,0.38,0.5,99.5,,defaults
c289,daylight,percentile,0.38,0.5,99.5,,defaults
c290,daylight,percentile,0.38,0.5,99.5,,defaults
c291,daylight,percentile,0.38,0.5,99.5,,defaults
c292,daylight,percentile,0.38,0.5,99.5,,defaults
c293,daylight,percentile,0.38,0.5,99.5,,defaults
c294,daylight,percentile,0.38,0.5,99.5,,defaults
c295,daylight,percentile,0.38,0.5,99.5,,defaults
c296,daylight,percentile,0.38,0.5,99.5,,defaults
c297,daylight,percentile,0.38,0.5,99.5,,defaults
c298,daylight,percentile,0.38,0.5,99.5,,defaults
c299,daylight,percentile,0.38,0.5,99.5,,defaults
c300,daylight,percentile,0.38,0.5,99.5,,defaults
c301,daylight,percentile,0.38,0.5,99.5,,defaults
c302,daylight,percentile,0.38,0.5,99.5,,defaults
c303,daylight,percentile,0.38,0.5,99.5,,defaults
c304,daylight,percentile,0.38,0.5,99.5,,defaults
c305,daylight,percentile,0.38,0.5,99.5,,defaults
c306,daylight,percentile,0.38,0.5,99.5,,defaults
c307,daylight,percentile,0.38,0.5,99.5,,defaults
c308,daylight,percentile,0.38,0.5,99.5,,defaults
c309,daylight,percentile,0.38,0.5,99.5,,defaults
c310,daylight,percentile,0.38,0.5,99.5,,defaults
c311,daylight,percentile,0.38,0.5,99.5,,defaults
c312,daylight,percentile,0.38,0.5,99.5,,defaults
c313,daylight,percentile,0.38,0.5,99.5,,defaults
c314,daylight,percentile,0.38,0.5,99.5,,defaults
c315,daylight,percentile,0.38,0.5,99.5,,defaults
c316,daylight,percentile,0.38,0.5,99.5,,defaults
c317,daylight,percentile,0.38,0.5,99.5,,defaults
c318,daylight,percentile,0.38,0.5,99.5,,defaults
c319,daylight,percentile,0.38,0.5,99.5,,defaults
c320,daylight,percentile,0.38,0.5,99.5,,defaults
c321,daylight,percentile,0.38,0.5,99.5,,defaults
c322,daylight,percentile,0.38,0.5,99.5,,defaults
c323,daylight,percentile,0.38,0.5,99.5,,defaults
c324,daylight,percentile,0.38,0.5,99.5,,defaults
c325,daylight,percentile,0.38,0.5,99.5,,defaults
